Sample Date,Status,CFU/100ml,Wet
6/4/15,Yellow Clean for Boating,261.3,N
5/28/15,Red Not Clean for Boating or Swimming,>2419.6,Y
10/2/14,Red Not Clean for Boating or Swimming,1986.3,Y
9/25/14,Blue Clean for Boating and Swimming,95.9,N
9/18/14,Blue Clean for Boating and Swimming,59.4,Y
9/11/14,Blue Clean for Boating and Swimming,95.9,N
9/4/14,Blue Clean for Boating and Swimming,172.2,N
8/28/14,Blue Clean for Boating and Swimming,118.7,N
8/21/14,Blue Clean for Boating and Swimming,93.2,N
8/14/14,Red Not Clean for Boating or Swimming,> 2419.6,Y
8/7/14,Blue Clean for Boating and Swimming,85.5,Y
7/31/14,Blue Clean for Boating and Swimming,139.1,N
7/24/14,Red Not Clean for Boating or Swimming,>2419.6,Y
7/17/14,Yellow Clean for Boating,435.2,Y
7/10/14,Yellow Clean for Boating,325.5,Y
7/3/14,Red Not Clean for Boating or Swimming,>2419.6,Y
6/26/14,Red Not Clean for Boating or Swimming,>2419.6,Y
6/19/14,Blue Clean for Boating and Swimming,214.3,Y
6/12/14,Blue Clean for Boating and Swimming,131.4,N
6/5/14,Blue Clean for Boating and Swimming,172.3,Y
5/29/14,Blue Clean for Boating and Swimming,151.5,N
10/3/13,Yellow Clean for Boating,285.1,N
9/26/13,Blue Clean for Boating and Swimming,101.7,N
9/19/13,Blue Clean for Boating and Swimming,90.8,N
9/12/13,Red Not Clean for Boating or Swimming,686.7,Y
9/5/13,Yellow Clean for Boating,387.3,N
8/29/13,Yellow Clean for Boating,240,Y
8/22/13,Blue Clean for Boating and Swimming,184.2,N
8/15/13,Blue Clean for Boating and Swimming,104.6,Y
8/8/13,Blue Clean for Boating and Swimming,131.4,N
8/1/13,Blue Clean for Boating and Swimming,139.6,N
7/25/13,Red Not Clean for Boating or Swimming,613.1,Y
7/18/13,Blue Clean for Boating and Swimming,146.7,N
7/11/13,Red Not Clean for Boating or Swimming,727,Y
7/4/13,Blue Clean for Boating and Swimming,90.9,N
6/27/13,Blue Clean for Boating and Swimming,218.7,Y
6/20/13,Blue Clean for Boating and Swimming,73.3,Y
6/13/13,Blue Clean for Boating and Swimming,111.2,Y
6/6/13,Blue Clean for Boating and Swimming,110.6,N
5/30/13,Red Not Clean for Boating or Swimming,770.1,Y
10/4/12,Blue Clean for Boating and Swimming,90.8,N
9/27/12,Blue Clean for Boating and Swimming,116.2,N
9/20/12,Red Not Clean for Boating or Swimming,1046.2,N
9/13/12,Blue Clean for Boating and Swimming,98.7,N
9/6/12,Red Not Clean for Boating or Swimming,2419.6,Y
8/30/12,Yellow Clean for Boating,328.2,N
8/23/12,Blue Clean for Boating and Swimming,90.6,N
8/16/12,Yellow Clean for Boating,435.2,Y
8/9/12,Blue Clean for Boating and Swimming,125,N
8/2/12,Yellow Clean for Boating,290.9,N
7/26/12,Yellow Clean for Boating,435.2,Y
7/19/12,Yellow Clean for Boating,365.4,N
7/12/12,Yellow Clean for Boating,461.1,N
7/5/12,Blue Clean for Boating and Swimming,156.5,N
6/28/12,Blue Clean for Boating and Swimming,131.4,N
6/21/12,Blue Clean for Boating and Swimming,159.7,N
6/14/12,Blue Clean for Boating and Swimming,193.5,Y
6/7/12,Blue Clean for Boating and Swimming,172,Y
5/31/12,Red Not Clean for Boating or Swimming,727,Y
