datetime,"Discharge, cubic feet per second (mean)","data-value (approved, provisional, estimated) "
8/20/15,24.2,A
8/21/15,37.6,A
8/22/15,38.5,A
8/23/15,27.2,A
8/24/15,25.2,A
8/25/15,59.6,A
8/26/15,72.1,A
8/27/15,37,A
8/28/15,28.3,A
8/29/15,24.4,A
8/30/15,21.7,A
8/31/15,20.1,A
9/1/15,18.2,A
9/2/15,16.8,A
9/3/15,16,A
9/4/15,16.1,A
9/5/15,14.9,A
9/6/15,13.8,A
9/7/15,13.1,A
9/8/15,12.6,A
9/9/15,14.4,A
9/10/15,33.6,A
9/11/15,86,A
9/12/15,50.8,A
9/13/15,87.2,A
9/14/15,169,A
9/15/15,66.4,A
9/16/15,48.6,A
9/17/15,42.4,A
9/18/15,38.9,A
9/19/15,36.7,A
9/20/15,34.7,A
9/21/15,31.3,A
9/22/15,28.8,A
9/23/15,16.5,A
9/24/15,14.7,A
9/25/15,13.6,A
9/26/15,12.9,A
9/27/15,12.3,A
9/28/15,12.1,A
9/29/15,12.8,A
9/30/15,1160,A
10/1/15,224,A
10/2/15,105,A
10/3/15,78.3,A
10/4/15,51.9,A
10/5/15,43.6,A
10/6/15,40.2,A
10/7/15,37.5,A
10/8/15,34.1,A
10/9/15,34.7,A
10/10/15,41.9,A
10/11/15,34.5,A
10/12/15,31.8,A
10/13/15,30.2,A
10/14/15,30.6,A
10/15/15,28.2,A
10/16/15,40.2,A
10/17/15,41.6,A
10/18/15,39.8,A
10/19/15,39.8,A
10/20/15,41.1,A
10/21/15,31.7,A
10/22/15,29.2,A
10/23/15,28.3,A
10/24/15,25.3,A
10/25/15,30.9,A
10/26/15,33.5,A
10/27/15,27.5,A
10/28/15,39.3,A
10/29/15,469,A
10/30/15,122,A
10/31/15,76.7,A
11/1/15,63.8,A
11/2/15,57.9,A
11/3/15,49.8,A
11/4/15,45.9,A
11/5/15,44.4,A
11/6/15,44.1,A
11/7/15,42,A
11/8/15,39.4,A
11/9/15,38,A
11/10/15,38.9,A
11/11/15,78,A
11/12/15,87.4,A
11/13/15,86.7,A
11/14/15,58.1,A
11/15/15,48.8,A
11/16/15,45.7,A
11/17/15,42,A
11/18/15,40.2,A
11/19/15,44.6,A
11/20/15,232,A
11/21/15,98.9,A
11/22/15,72.5,A
11/23/15,61.7,A
11/24/15,56.2,A
11/25/15,52.2,A
11/26/15,50.4,A
11/27/15,50.4,A
11/28/15,51.6,A
11/29/15,52.3,A
11/30/15,47.5,A
12/1/15,46.9,A
12/2/15,79.8,A
12/3/15,125,A
12/4/15,91.3,A
12/5/15,65.3,A
12/6/15,58.8,A
12/7/15,56.9,A
12/8/15,55.4,A
12/9/15,54.2,A
12/10/15,53.7,A
12/11/15,52,A
12/12/15,50,A
12/13/15,47.8,A
12/14/15,49,A
12/15/15,108,A
12/16/15,73.9,A
12/17/15,78.6,A
12/18/15,132,A
12/19/15,83.3,A
12/20/15,66.2,A
12/21/15,61.1,A
12/22/15,77.7,A
12/23/15,109,A
12/24/15,400,A
12/25/15,158,A
12/26/15,113,A
12/27/15,123,A
12/28/15,112,A
12/29/15,108,A
12/30/15,101,A
12/31/15,126,A
1/1/16,134,A
1/2/16,109,A
1/3/16,94,A
1/4/16,85,A
1/5/16,81.3,A:e
1/6/16,77.2,A:e
1/7/16,73.8,A:e
1/8/16,72.2,A:e
1/9/16,70.8,A
1/10/16,392,A
1/11/16,359,A
1/12/16,158,A
1/13/16,128,A
1/14/16,114,A:e
1/15/16,102,A
1/16/16,104,A:e
1/17/16,102,A:e
1/18/16,100,A:e
1/19/16,97.8,A:e
1/20/16,95.3,A:e
1/21/16,82.4,A:e
1/22/16,78.3,A:e
1/23/16,68.4,A
1/24/16,68.5,A:e
1/25/16,65.2,A
1/26/16,64.2,A
1/27/16,67.5,A
1/28/16,67.2,A
1/29/16,62.9,A
1/30/16,59.3,A
1/31/16,58.7,A
2/1/16,62.8,A
2/2/16,65,A
2/3/16,112,A
2/4/16,181,A
2/5/16,114,A
2/6/16,87.2,A
2/7/16,80.5,A
2/8/16,77,A
2/9/16,73.4,A:e
2/10/16,71.4,A:e
2/11/16,68.4,A
2/12/16,81.2,A
2/13/16,92.4,A
2/14/16,95,A:e
2/15/16,102,A
2/16/16,192,A
2/17/16,279,A
2/18/16,137,A
2/19/16,118,A:e
2/20/16,117,A
2/21/16,155,A
2/22/16,143,A
2/23/16,110,A
2/24/16,345,A
2/25/16,1680,A
2/26/16,381,A
2/27/16,224,A
2/28/16,193,A
2/29/16,179,A
3/1/16,155,A
3/2/16,297,A
3/3/16,190,A
3/4/16,148,A
3/5/16,133,A
3/6/16,123,A
3/7/16,118,A
3/8/16,117,A
3/9/16,119,A
3/10/16,126,A
3/11/16,141,A
3/12/16,128,A
3/13/16,108,A
3/14/16,124,A
3/15/16,244,A
3/16/16,181,A
3/17/16,201,A
3/18/16,152,A
3/19/16,127,A
3/20/16,113,A
3/21/16,110,A
3/22/16,103,A
3/23/16,97.9,A
3/24/16,91.9,A
3/25/16,99.4,A
3/26/16,99.1,A
3/27/16,89,A
3/28/16,120,A
3/29/16,138,A
3/30/16,100,A
3/31/16,90.2,A
4/1/16,89.1,A
4/2/16,104,A
4/3/16,108,A
4/4/16,92.9,A
4/5/16,91.8,A
4/6/16,89.6,A
4/7/16,259,A
4/8/16,336,A
4/9/16,155,A
4/10/16,122,A
4/11/16,115,A
4/12/16,155,A
4/13/16,133,A
4/14/16,109,A
4/15/16,98.6,A
4/16/16,91.3,A
4/17/16,86,A
4/18/16,83.7,A
4/19/16,79.3,A
4/20/16,73,A
4/21/16,69.6,A
4/22/16,73.5,A
4/23/16,74.3,A
4/24/16,66,A
4/25/16,61.8,A
4/26/16,77.6,A
4/27/16,87.6,A
4/28/16,67.8,A
4/29/16,60.2,A
4/30/16,56.6,A
5/1/16,55.2,A
5/2/16,89.3,A
5/3/16,124,A
5/4/16,99.7,A
5/5/16,107,A
5/6/16,91.3,A
5/7/16,171,A
5/8/16,111,A
5/9/16,85.5,A
5/10/16,72.5,A
5/11/16,67.2,A
5/12/16,61.8,A
5/13/16,63.9,A
5/14/16,92.2,A
5/15/16,89.9,A
5/16/16,68.5,A
5/17/16,61.3,A
5/18/16,55.1,A
5/19/16,52.7,A
5/20/16,60.4,A
5/21/16,51.9,A
5/22/16,48.2,A
5/23/16,45.5,A
5/24/16,49.1,A
5/25/16,50.7,A
5/26/16,42.3,A
5/27/16,38.3,A
5/28/16,34.9,A
5/29/16,32.9,A
5/30/16,55.1,A
5/31/16,57.9,A
6/1/16,39.6,A
6/2/16,36.4,A
6/3/16,38.2,A
6/4/16,39.3,A
6/5/16,70,A
6/6/16,240,A
6/7/16,80.3,A
6/8/16,56.9,A
6/9/16,45.8,A
6/10/16,39.8,A
6/11/16,39.7,A
6/12/16,48.4,A
6/13/16,38.5,A
6/14/16,34,A
6/15/16,31.9,A
6/16/16,28.4,A
6/17/16,26.7,A
6/18/16,24.5,A
6/19/16,22.6,A
6/20/16,21.2,A
6/21/16,20.5,A
6/22/16,18.8,A
6/23/16,18,A
6/24/16,17.2,A
6/25/16,16.4,A
6/26/16,15.8,A
6/27/16,14.9,A
6/28/16,14.9,A
6/29/16,17.7,A
6/30/16,16.6,A
7/1/16,14.7,A
7/2/16,14.6,A
7/3/16,14.2,A
7/4/16,12.6,A
7/5/16,13.2,A
7/6/16,15.4,A
7/7/16,14,A
7/8/16,15.5,A
7/9/16,16.1,A
7/10/16,22.7,A
7/11/16,20.9,A
7/12/16,17.1,A
7/13/16,14.6,A
7/14/16,13.4,A
7/15/16,17.3,A
7/16/16,16,A
7/17/16,14.5,A
7/18/16,12.4,A
7/19/16,11.1,A
7/20/16,9.79,A
7/21/16,9.61,A
7/22/16,9.12,A
7/23/16,9.02,A
7/24/16,7.95,A
7/25/16,7.68,A
7/26/16,7.13,A
7/27/16,6.7,A
7/28/16,6.48,A
7/29/16,6.64,A
7/30/16,8.56,A
7/31/16,31.9,A
8/1/16,26.5,A
8/2/16,92.7,A
8/3/16,39.7,A
8/4/16,20.2,A
8/5/16,15.1,A
8/6/16,12.8,A
8/7/16,11.4,A
8/8/16,10.2,A
8/9/16,8.88,A
8/10/16,9.83,A
8/11/16,12.8,A
8/12/16,12.3,A
8/13/16,14.2,A
8/14/16,16.4,A
8/15/16,13.3,A
8/16/16,11,A
8/17/16,10.8,A
8/18/16,9.46,A
8/19/16,8.6,A
8/20/16,7.91,A
8/21/16,7.66,A
8/22/16,16.5,A
8/23/16,12.6,A
8/24/16,9.39,A
8/25/16,8.29,A
8/26/16,7.78,A
8/27/16,7.28,A
8/28/16,6.89,A
8/29/16,6.44,A
8/30/16,5.87,A
8/31/16,5.81,A
9/1/16,6.32,A
9/2/16,6.45,A
9/3/16,6.01,A
9/4/16,5.66,A
9/5/16,5.35,A
9/6/16,5.06,A
9/7/16,5.38,A
9/8/16,5.8,A
9/9/16,6.13,A
9/10/16,6.24,A
9/11/16,6.78,A
9/12/16,8.1,A
9/13/16,6.62,A
9/14/16,5.89,A
9/15/16,5.34,A
9/16/16,5,A
9/17/16,4.93,A
9/18/16,5.48,A
9/19/16,24.3,A
9/20/16,17.6,A
9/21/16,11.1,A
9/22/16,8.74,A
9/23/16,7.82,A
9/24/16,7.19,A
9/25/16,6.61,A
9/26/16,6.32,A
9/27/16,10.9,A
9/28/16,10.9,A
9/29/16,8.54,A
9/30/16,7.56,A
10/1/16,9.11,A
10/2/16,9.82,A
10/3/16,9.36,A
10/4/16,8.95,A
10/5/16,8.3,A
10/6/16,7.51,A
10/7/16,7.05,A
10/8/16,6.69,A
10/9/16,7.87,A
10/10/16,8.46,A
10/11/16,7.64,A
10/12/16,6.73,A
10/13/16,6.54,A
10/14/16,6.11,A
10/15/16,6.02,A
10/16/16,6.06,A
10/17/16,6.06,A
10/18/16,6.31,A
10/19/16,11.9,A
10/20/16,16.3,A
10/21/16,17.9,A
10/22/16,19.4,A
10/23/16,20.6,A
10/24/16,19.1,A
10/25/16,18.4,A
10/26/16,17.7,A
10/27/16,20.1,A
10/28/16,46.6,A
10/29/16,41.9,A
10/30/16,30.2,A
10/31/16,24.6,A
11/1/16,21.8,A
11/2/16,20.7,A
11/3/16,24.7,A
11/4/16,24,A
11/5/16,12.9,A
11/6/16,10.2,A
11/7/16,9.28,A
11/8/16,9.06,A
11/9/16,9.17,A
11/10/16,13.2,A
11/11/16,16,A
11/12/16,14,A
11/13/16,14.2,A
11/14/16,14.1,A
11/15/16,28.6,A
11/16/16,50.6,A
11/17/16,35.1,A
11/18/16,29.1,A
11/19/16,26.7,A
11/20/16,39.1,A
11/21/16,38.3,A
11/22/16,29.9,A
11/23/16,19,A
11/24/16,13.7,A
11/25/16,13.2,A
11/26/16,12.9,A
11/27/16,12.5,A
11/28/16,12,A
11/29/16,17.5,A
11/30/16,60.3,A
12/1/16,303,A
12/2/16,80.8,A
12/3/16,43.7,A
12/4/16,31.7,A
12/5/16,27.5,A
12/6/16,24.5,A
12/7/16,24.7,A
12/8/16,27.5,A
12/9/16,23.3,A:e
12/10/16,21.4,A:e
12/11/16,24.9,A:e
12/12/16,26.4,A
12/13/16,21.8,A
12/14/16,18.5,A:e
12/15/16,13.9,A:e
12/16/16,16.2,A:e
12/17/16,18.1,A:e
12/18/16,21.5,A:e
12/19/16,24.7,A:e
12/20/16,25.2,A:e
12/21/16,28.1,A:e
12/22/16,26.2,A
12/23/16,22.8,A
12/24/16,28.8,A
12/25/16,45.4,A:e
12/26/16,34.8,A:e
12/27/16,43.3,A
12/28/16,61.3,A
12/29/16,41.1,A
12/30/16,35.8,A
12/31/16,29.9,A
1/1/17,29.3,A
1/2/17,27.7,A
1/3/17,39.3,A
1/4/17,170,A
1/5/17,75.6,A:e
1/6/17,43.3,A:e
1/7/17,41.2,A:e
1/8/17,51.6,A:e
1/9/17,49.3,A:e
1/10/17,42.8,A:e
1/11/17,51.2,A:e
1/12/17,68.6,A
1/13/17,137,A:e
1/14/17,71.2,A:e
1/15/17,53.3,A:e
1/16/17,49.7,A:e
1/17/17,45.2,A
1/18/17,58.5,A
1/19/17,61.2,A
1/20/17,64.9,A
1/21/17,70.4,A
1/22/17,80,A
1/23/17,80.6,A
1/24/17,79.2,A
1/25/17,91.1,A
1/26/17,80.5,A
1/27/17,86.1,A
1/28/17,70.4,A
1/29/17,59.2,A
1/30/17,52,A
1/31/17,45.4,A
2/1/17,49.1,A
2/2/17,47.1,A:e
2/3/17,44.3,A:e
2/4/17,43.1,A:e
2/5/17,33.5,A:e
2/6/17,31.5,A:e
2/7/17,34.1,A:e
2/8/17,38.2,A:e
2/9/17,39.8,A:e
2/10/17,49,A:e
2/11/17,52,A:e
2/12/17,57.3,A:e
2/13/17,58.2,A:e
2/14/17,47.9,A:e
2/15/17,42.9,A:e
2/16/17,40.3,A:e
2/17/17,39.1,A:e
2/18/17,38.8,A:e
2/19/17,46.4,A
2/20/17,67.8,A
2/21/17,60.6,A
2/22/17,54.5,A
2/23/17,83.4,A
2/24/17,206,A
2/25/17,428,A
2/26/17,588,A
2/27/17,213,A
2/28/17,178,A
3/1/17,218,A
3/2/17,228,A
3/3/17,144,A
3/4/17,101,A
3/5/17,89.6,A
3/6/17,97.1,A
3/7/17,97.1,A
3/8/17,105,A
3/9/17,102,A
3/10/17,84.7,A
3/11/17,67.9,A
3/12/17,62.3,A:e
3/13/17,65.2,A:e
3/14/17,48.6,A:e
3/15/17,55.5,A:e
3/16/17,61.2,A:e
3/17/17,59.5,A:e
3/18/17,68.9,A:e
3/19/17,69.2,A
3/20/17,72.3,A
3/21/17,76.9,A
3/22/17,87.4,A
3/23/17,66.9,A
3/24/17,61,A
3/25/17,60,A
3/26/17,62,A
3/27/17,124,A
3/28/17,170,A
3/29/17,317,A
3/30/17,212,A
3/31/17,204,A
4/1/17,211,A
4/2/17,234,A
4/3/17,287,A
4/4/17,785,A
4/5/17,581,A
4/6/17,525,A
4/7/17,645,A
4/8/17,333,A
4/9/17,250,A
4/10/17,223,A
4/11/17,200,A
4/12/17,174,A
4/13/17,154,A
4/14/17,132,A
4/15/17,126,A
4/16/17,121,A
4/17/17,113,A
4/18/17,93.4,A
4/19/17,84.4,A
4/20/17,88.3,A
4/21/17,179,A
4/22/17,179,A
4/23/17,124,A
4/24/17,102,A
4/25/17,103,A
4/26/17,273,A
4/27/17,183,A
4/28/17,138,A
4/29/17,116,A
4/30/17,105,A
5/1/17,99.5,A
5/2/17,218,A
5/3/17,148,A
5/4/17,113,A
5/5/17,300,A
5/6/17,714,A
5/7/17,320,A
5/8/17,212,A
5/9/17,158,A
5/10/17,136,A
5/11/17,121,A
5/12/17,109,A
5/13/17,115,A
5/14/17,758,A
5/15/17,260,A
5/16/17,174,A
5/17/17,141,A:e
5/18/17,122,A:e
5/19/17,138,A:e
5/20/17,108,A:e
5/21/17,91.5,A:e
5/22/17,89.6,A:e
5/23/17,86.7,A
5/24/17,75.6,A
5/25/17,86.9,A
5/26/17,466,A
5/27/17,226,A
5/28/17,134,A
5/29/17,122,A
5/30/17,140,A
5/31/17,145,A
6/1/17,192,A
6/2/17,117,A
6/3/17,94.8,A
6/4/17,83.8,A
6/5/17,121,A
6/6/17,571,A
6/7/17,425,A
6/8/17,193,A
6/9/17,145,A
6/10/17,117,A
6/11/17,102,A
6/12/17,86.6,A
6/13/17,74.2,A
6/14/17,63.6,A
6/15/17,55.5,A
6/16/17,57.2,A
6/17/17,74.6,A
6/18/17,66.7,A
6/19/17,85.6,A
6/20/17,136,A
6/21/17,85.8,A
6/22/17,68.7,A
6/23/17,48.9,A
6/24/17,47.8,A
6/25/17,46,A
6/26/17,56.1,A
6/27/17,43.2,A
6/28/17,45.2,A
6/29/17,37.4,A
6/30/17,40.5,A
7/1/17,136,A
7/2/17,63.6,A
7/3/17,45.3,A
7/4/17,35.5,A
7/5/17,31,A
7/6/17,28.2,A
7/7/17,28.2,A
7/8/17,31.9,A
7/9/17,28.8,A
7/10/17,24.6,A
7/11/17,25.5,A
7/12/17,68.9,A
7/13/17,115,A
7/14/17,53.9,A
7/15/17,47.5,A
7/16/17,37.2,A
7/17/17,30.1,A
7/18/17,27,A
7/19/17,25.8,A
7/20/17,22.9,A
7/21/17,20.6,A
7/22/17,18.9,A
7/23/17,18.4,A
7/24/17,35.3,A
7/25/17,44.1,A
7/26/17,30.6,A
7/27/17,25.9,A
7/28/17,28.6,A
7/29/17,23.6,A
7/30/17,19.9,A
7/31/17,18,A
8/1/17,16.8,A
8/2/17,16.2,A
8/3/17,16.3,A
8/4/17,16,A
8/5/17,19.6,A
8/6/17,19.7,A
8/7/17,16.5,A
8/8/17,17.8,A
8/9/17,16.9,A
8/10/17,15.1,A
8/11/17,14.6,A
8/12/17,17.2,A
8/13/17,17.3,A
8/14/17,15,A
8/15/17,14.8,A
8/16/17,17.2,A
8/17/17,14,A
8/18/17,17.2,A
8/19/17,22,A
8/20/17,16.5,A
8/21/17,13.8,A
8/22/17,14.3,A
8/23/17,26.1,A
8/24/17,19,A
8/25/17,13.9,A
8/26/17,12.2,A
8/27/17,11.4,A
8/28/17,10.6,A
8/29/17,10.5,A
8/30/17,10.7,A
8/31/17,10.3,A
9/1/17,9.66,A
9/2/17,9.12,A
9/3/17,30.1,A
9/4/17,46.6,A
9/5/17,22.9,A
9/6/17,36.9,A
9/7/17,51.3,A
9/8/17,32.2,A
9/9/17,22.4,A
9/10/17,18,A
9/11/17,15.3,A
9/12/17,13.6,A
9/13/17,12.7,A
9/14/17,11.6,A
9/15/17,11.1,A
9/16/17,10.7,A
9/17/17,10.2,A
9/18/17,9.86,A
9/19/17,9.75,A
9/20/17,9.59,A
9/21/17,9.51,A
9/22/17,8.77,A
9/23/17,8.08,A
9/24/17,7.86,A
9/25/17,7.89,A
9/26/17,7.65,A
9/27/17,7.62,A
9/28/17,7.36,A
9/29/17,6.72,A
9/30/17,8.2,A
10/1/17,11.1,A
10/2/17,9.59,A
10/3/17,8.55,A
10/4/17,8.29,A
10/5/17,8.43,A
10/6/17,7.97,A
10/7/17,8.1,A
10/8/17,10.1,A
10/9/17,23.4,A
10/10/17,32,A
10/11/17,17.8,A
10/12/17,13.5,A
10/13/17,12,A
10/14/17,10.7,A
10/15/17,10.8,A
10/16/17,12.8,A
10/17/17,10.8,A
10/18/17,10.1,A
10/19/17,9.73,A
10/20/17,9.36,A
10/21/17,8.96,A
10/22/17,9.14,A
10/23/17,8.9,A
10/24/17,35.6,A
10/25/17,169,A
10/26/17,63.9,A
10/27/17,44.5,A
10/28/17,29.9,A
10/29/17,180,A
10/30/17,1350,A
10/31/17,184,A
11/1/17,93.1,A
11/2/17,70.2,A
11/3/17,60.5,A
11/4/17,61.7,A
11/5/17,53.6,A
11/6/17,55.3,A
11/7/17,51.3,A
11/8/17,45.9,A
11/9/17,42.3,A
11/10/17,41.1,A
11/11/17,36.9,A
11/12/17,36.5,A
11/13/17,35.9,A
11/14/17,35,A
11/15/17,33,A
11/16/17,36.2,A
11/17/17,44.5,A
11/18/17,35.7,A
11/19/17,49.4,A
11/20/17,44.2,A
11/21/17,37.2,A
11/22/17,35.7,A
11/23/17,35.4,A
11/24/17,32.4,A
11/25/17,31.3,A
11/26/17,30.7,A
11/27/17,29.1,A
11/28/17,27.6,A
11/29/17,27.7,A
11/30/17,27.2,A
12/1/17,29.3,A
12/2/17,28.6,A
12/3/17,27.6,A
12/4/17,26.9,A
12/5/17,28.3,A
12/6/17,68,A
12/7/17,48.8,A
12/8/17,38.3,A
12/9/17,34.8,A
12/10/17,34.7,A
12/11/17,32.2,A
12/12/17,31.3,A:e
12/13/17,29.9,A:e
12/14/17,28.1,A:e
12/15/17,26.9,A:e
12/16/17,26.1,A:e
12/17/17,26.2,A:e
12/18/17,26.3,A:e
12/19/17,26.4,A:e
12/20/17,26.4,A:e
12/21/17,25.9,A:e
12/22/17,25.7,A:e
12/23/17,27.7,A:e
12/24/17,29.8,A:e
12/25/17,31.2,A:e
12/26/17,32.5,A:e
12/27/17,33.6,A:e
12/28/17,34.9,A:e
12/29/17,36.5,A:e
12/30/17,38.8,A:e
12/31/17,41,A:e
1/1/18,41.6,A:e
1/2/18,41.8,A:e
1/3/18,42.3,A:e
1/4/18,43.5,A:e
1/5/18,43.9,A:e
1/6/18,44.1,A:e
1/7/18,45.2,A:e
1/8/18,45.7,A:e
1/9/18,46,A:e
1/10/18,49.3,A:e
1/11/18,54.9,A:e
1/12/18,60.2,A:e
1/13/18,62.2,A:e
1/14/18,63.6,A:e
1/15/18,65.2,A:e
1/16/18,65.9,A:e
1/17/18,66.6,A:e
1/18/18,67.4,A:e
1/19/18,67.7,A:e
1/20/18,72,A:e
1/21/18,69.8,A
1/22/18,68.6,A
1/23/18,213,A
1/24/18,279,A:e
1/25/18,154,A:e
1/26/18,132,A:e
1/27/18,113,A:e
1/28/18,112,A
1/29/18,114,A
1/30/18,102,A
1/31/18,98.4,A
2/1/18,83.5,A
2/2/18,79.7,A
2/3/18,69.1,A:e
2/4/18,82.2,A:e
2/5/18,187,A:e
2/6/18,109,A:e
2/7/18,86.1,A:e
2/8/18,79.8,A:e
2/9/18,90.6,A:e
2/10/18,80,A
2/11/18,253,A
2/12/18,375,A
2/13/18,178,A
2/14/18,141,A
2/15/18,139,A
2/16/18,189,A
2/17/18,171,A
2/18/18,138,A
2/19/18,126,A
2/20/18,241,A
2/21/18,338,A
2/22/18,307,A
2/23/18,209,A
2/24/18,294,A
2/25/18,396,A
2/26/18,347,A
2/27/18,247,A
2/28/18,212,A
3/1/18,200,A
3/2/18,442,A
3/3/18,402,A
3/4/18,261,A
3/5/18,213,A
3/6/18,188,A
3/7/18,178,A
3/8/18,173,A
3/9/18,158,A
3/10/18,146,A
3/11/18,139,A
3/12/18,137,A
3/13/18,139,A
3/14/18,135,A
3/15/18,129,A
3/16/18,120,A
3/17/18,107,A:e
3/18/18,93.6,A:e
3/19/18,92.8,A:e
3/20/18,90.8,A:e
3/21/18,91.4,A:e
3/22/18,93.2,A
3/23/18,102,A
3/24/18,98.9,A
3/25/18,98.5,A
3/26/18,91.6,A
3/27/18,91.7,A
3/28/18,98.8,A
3/29/18,116,A
3/30/18,141,A
3/31/18,129,A
4/1/18,111,A
4/2/18,103,A
4/3/18,117,A
4/4/18,194,A
4/5/18,155,A
4/6/18,120,A:e
4/7/18,146,A
4/8/18,131,A
4/9/18,111,A
4/10/18,104,A
4/11/18,101,A
4/12/18,96.5,A
4/13/18,101,A
4/14/18,92.4,A
4/15/18,82.4,A
4/16/18,424,A
4/17/18,490,A
4/18/18,277,A
4/19/18,222,A
4/20/18,185,A
4/21/18,153,A
4/22/18,134,A
4/23/18,123,A
4/24/18,114,A
4/25/18,210,A
4/26/18,351,A
4/27/18,194,A
4/28/18,173,A
4/29/18,186,A
4/30/18,166,A
5/1/18,139,A
5/2/18,124,A
5/3/18,113,A
5/4/18,111,A
5/5/18,102,A
5/6/18,95.8,A
5/7/18,97,A
5/8/18,86,A
5/9/18,79.7,A
5/10/18,74.3,A
5/11/18,70.5,A
5/12/18,67.2,A
5/13/18,77.9,A
5/14/18,68.6,A
5/15/18,69.1,A
5/16/18,83.1,A
5/17/18,67.5,A
5/18/18,57.9,A
5/19/18,58.8,A
5/20/18,93,A
5/21/18,67.6,A
5/22/18,54.6,A
5/23/18,53.8,A
5/24/18,46.1,A
5/25/18,40.8,A
5/26/18,37.4,A
5/27/18,36.7,A
5/28/18,43.4,A
5/29/18,41.2,A
5/30/18,35.1,A
5/31/18,31.7,A
6/1/18,31.8,A
6/2/18,33.1,A
6/3/18,29.2,A
6/4/18,95.1,A
6/5/18,77.4,A
6/6/18,56.1,A
6/7/18,41.2,A
6/8/18,36.6,A
6/9/18,32.2,A
6/10/18,28.5,A
6/11/18,27.7,A
6/12/18,24.9,A
6/13/18,23.4,A
6/14/18,24.2,A
6/15/18,23.2,A
6/16/18,21.8,A
6/17/18,20.2,A
6/18/18,21,A
6/19/18,46.7,A
6/20/18,28.8,A
6/21/18,23,A
6/22/18,20.3,A
6/23/18,19,A
6/24/18,24.4,A
6/25/18,42,A
6/26/18,29.2,A
6/27/18,23.9,A
6/28/18,456,A
6/29/18,176,A
6/30/18,73.4,A
7/1/18,48.9,A
7/2/18,38.4,A
7/3/18,33.2,A
7/4/18,29.8,A
7/5/18,26.4,A
7/6/18,41.3,A
7/7/18,40.3,A
7/8/18,28.2,A
7/9/18,24.4,A
7/10/18,22.7,A
7/11/18,21.1,A
7/12/18,19.3,A
7/13/18,18,A
7/14/18,17.7,A
7/15/18,20.4,A
7/16/18,18.8,A
7/17/18,34.2,A
7/18/18,36,A
7/19/18,24.3,A
7/20/18,19.5,A
7/21/18,17.9,A
7/22/18,33.1,A
7/23/18,540,A
7/24/18,236,A
7/25/18,166,A
7/26/18,675,A
7/27/18,167,A
7/28/18,157,A
7/29/18,93.2,A
7/30/18,67.5,A
7/31/18,56.4,A
8/1/18,62.4,A
8/2/18,83,A
8/3/18,150,A
8/4/18,244,A
8/5/18,129,A
8/6/18,82.3,A
8/7/18,69.2,A
8/8/18,128,A
8/9/18,225,A
8/10/18,100,A
8/11/18,125,A
8/12/18,428,A
8/13/18,171,A
8/14/18,300,A
8/15/18,205,A
8/16/18,126,A
8/17/18,105,A
8/18/18,581,A
8/19/18,256,A
8/20/18,146,A
8/21/18,117,A
8/22/18,282,A
8/23/18,173,A
8/24/18,116,A
8/25/18,96.3,A
8/26/18,86.6,A
8/27/18,80.2,A
8/28/18,72.4,A
8/29/18,64.5,A
8/30/18,57.5,A
8/31/18,52,A
9/1/18,49.5,A
9/2/18,47.5,A
9/3/18,46,A
9/4/18,43.4,A
9/5/18,40.2,A
9/6/18,39.2,A
9/7/18,40.1,A
9/8/18,38,A
9/9/18,35.8,A
9/10/18,53.5,A
9/11/18,218,A
9/12/18,385,A
9/13/18,235,A
9/14/18,128,A
9/15/18,95.8,A
9/16/18,77.5,A
9/17/18,66.6,A
9/18/18,880,A
9/19/18,314,A
9/20/18,176,A
9/21/18,142,A
9/22/18,142,A
9/23/18,110,A
9/24/18,97.2,A
9/25/18,529,A
9/26/18,546,A
9/27/18,687,A
9/28/18,353,A
9/29/18,257,A
9/30/18,186,A
10/1/18,157,A
10/2/18,242,A
10/3/18,380,A
10/4/18,211,A
10/5/18,162,A
10/6/18,137,A
10/7/18,130,A
10/8/18,123,A
10/9/18,124,A
10/10/18,114,A
10/11/18,293,A
10/12/18,302,A
10/13/18,166,A
10/14/18,141,A
10/15/18,130,A
10/16/18,151,A
10/17/18,121,A
10/18/18,109,A
10/19/18,98.3,A
10/20/18,96.1,A
10/21/18,92.1,A
10/22/18,82.7,A
10/23/18,80.8,A
10/24/18,81.3,A
10/25/18,76.3,A
10/26/18,72.3,A
10/27/18,168,A
10/28/18,210,A
10/29/18,183,A
10/30/18,149,A
10/31/18,113,A
11/1/18,106,A
11/2/18,284,A
11/3/18,1230,A
11/4/18,362,A
11/5/18,240,A
11/6/18,412,A
11/7/18,362,A
11/8/18,231,A
11/9/18,212,A
11/10/18,397,A
11/11/18,232,A
11/12/18,189,A
11/13/18,396,A
11/14/18,289,A
11/15/18,202,A
11/16/18,207,A
11/17/18,204,A
11/18/18,196,A
11/19/18,196,A
11/20/18,243,A
11/21/18,206,A
11/22/18,152,A
11/23/18,136,A
11/24/18,134,A
11/25/18,177,A
11/26/18,248,A
11/27/18,671,A
11/28/18,335,A
11/29/18,237,A
11/30/18,199,A
12/1/18,179,A
12/2/18,366,A
12/3/18,329,A
12/4/18,252,A
12/5/18,194,A
12/6/18,172,A
12/7/18,157,A
12/8/18,134,A
12/9/18,126,A
12/10/18,121,A
12/11/18,112,A:e
12/12/18,110,A
12/13/18,101,A
12/14/18,102,A
12/15/18,109,A
